지역,풍속,높이,풍하중
강룽,32.11,88,856.3416084080209
강룽,32.11,89,860.7614287245597
강룽,32.11,90,865.19262566997
강룽,32.11,91,869.6351992442518
강룽,32.11,92,874.0891494474049
강룽,32.11,93,878.5544762794292
강룽,32.11,94,883.0311797403251
강룽,32.11,95,887.5192598300926
강룽,32.11,96,892.0187165487314
강룽,32.11,97,896.5295498962413
강룽,32.11,98,901.0517598726228
강룽,32.11,99,905.5853464778758
강룽,32.11,100,910.1303097119998
강룽,32.11,101,914.6866495749956
강룽,32.11,102,919.2543660668629
강룽,32.11,103,923.8334591876014
강룽,32.11,104,928.423928937211
서울,23.0,5,271.49281132500005
서울,23.0,6,273.27601054800004
서울,23.0,7,275.065046757
서울,23.0,8,276.85991995200004
서울,23.0,9,278.66063013300004
서울,23.0,10,280.4671773
서울,23.0,11,282.279561453
서울,23.0,12,284.09778259200004
서울,23.0,13,285.921840717
서울,23.0,14,287.751735828
서울,23.0,15,289.58746792500006
서울,23.0,16,291.429037008
서울,23.0,17,293.276443077
서울,23.0,18,295.129686132
서울,23.0,19,296.9887661730001
서울,23.0,20,298.8536831999999
서울,23.0,21,300.72443721300004
서울,23.0,22,302.601028212
서울,23.0,23,304.48345619700007
서울,23.0,24,306.37172116799997
서울,23.0,25,308.265823125
서울,23.0,26,310.165762068
서울,23.0,27,312.07153799699995
서울,23.0,28,313.983150912
서울,23.0,29,315.90060081300004
서울,23.0,30,317.8238877
서울,23.0,31,319.753011573
서울,23.0,32,321.68797243200004
서울,23.0,33,323.628770277
서울,23.0,34,325.575405108
서울,23.0,35,327.52787692500004
서울,23.0,36,329.486185728
서울,23.0,37,331.4503315170001
서울,23.0,38,333.42031429199994
서울,23.0,39,335.396134053
서울,23.0,40,337.3777908
서울,23.0,41,339.36528453300014
서울,23.0,42,341.358615252
서울,23.0,43,343.3577829569999
서울,23.0,44,345.362787648
서울,23.0,45,347.3736293250001
서울,23.0,46,349.3903079880001
서울,23.0,47,351.4128236369999
서울,23.0,48,353.441176272
서울,23.0,49,355.47536589299995
서울,23.0,50,357.5153925
서울,23.0,51,359.56125609299994
서울,23.0,52,361.61295667200005
서울,23.0,53,363.67049423699996
서울,23.0,54,365.73386878800005
서울,23.0,55,367.8030803249999
서울,23.0,56,369.87812884799996
서울,23.0,57,371.95901435699994
서울,23.0,58,374.04573685200006
서울,23.0,59,376.13829633299997
서울,23.0,60,378.23669280000007
서울,23.0,61,380.34092625299996
서울,23.0,62,382.45099669200005
서울,23.0,63,384.566904117
서울,23.0,64,386.6886485280001
서울,23.0,65,388.816229925
서울,23.0,66,390.94964830800006
서울,23.0,67,393.08890367699996
서울,23.0,68,395.2339960320001
서울,23.0,69,397.38492537299993
서울,23.0,70,399.54169170000006
서울,23.0,71,401.704295013
서울,23.0,72,403.8727353120001
서울,23.0,73,406.04701259699993
서울,23.0,74,408.227126868
서울,23.0,75,410.41307812499997
서울,23.0,76,412.60486636800005
서울,23.0,77,414.802491597
서울,23.0,78,417.00595381200014
서울,23.0,79,419.21525301299994
서울,23.0,80,421.43038920000004
서울,23.0,81,423.65136237300004
서울,23.0,82,425.8781725319999
서울,23.0,83,428.11081967699994
서울,23.0,84,430.34930380800006
서울,23.0,85,432.59362492500003
서울,23.0,86,434.84378302799985
서울,23.0,87,437.09977811699997
서울,23.0,88,439.3616101920001
서울,23.0,89,441.62927925300005
서울,23.0,90,443.90278529999983
서울,23.0,91,446.182128333
서울,23.0,92,448.46730835200003
서울,23.0,93,450.75832535700005
서울,23.0,94,453.05517934799997
서울,23.0,95,455.357870325
서울,23.0,96,457.66639828800015
서울,23.0,97,459.9807632370001
